COD_UNICOM,RUTA,NUM_ITIN,F_LTEOR,F_LREAL,F_FACT
1120,1,10,2018-03-01,2018-03-01 00:00:00,2018-03-01 00:00:00
1120,1,30,2018-03-01,2018-03-01 00:00:00,2018-03-01 00:00:00
1120,1,50,2018-03-01,2018-03-01 00:00:00,2018-03-01 00:00:00
1120,1,60,2018-03-01,2018-03-01 00:00:00,2018-03-01 00:00:00
1120,1,70,2018-03-01,2018-03-01 00:00:00,2018-03-01 00:00:00
1120,1,75,2018-03-01,2018-03-01 00:00:00,2018-03-01 00:00:00
1120,1,100,2018-03-01,2018-03-01 00:00:00,2018-03-01 00:00:00
1120,1,110,2018-03-01,2018-03-02 00:00:00,2018-03-02 00:00:00
1120,1,130,2018-03-01,2018-03-01 00:00:00,2018-03-01 00:00:00
1120,1,170,2018-03-01,2018-03-02 00:00:00,2018-03-02 00:00:00
1120,1,260,2018-03-01,2018-03-01 00:00:00,2018-03-01 00:00:00
1120,1,280,2018-03-01,2018-03-02 00:00:00,2018-03-02 00:00:00
1120,1,490,2018-03-01,2018-03-01 00:00:00,2018-03-01 00:00:00
1120,1,150,2018-03-02,2018-03-02 00:00:00,2018-03-02 00:00:00
1120,1,180,2018-03-02,2018-03-02 00:00:00,2018-03-02 00:00:00
1120,1,190,2018-03-02,2018-03-02 00:00:00,2018-03-02 00:00:00
1120,1,200,2018-03-02,2018-03-02 00:00:00,2018-03-02 00:00:00
1120,1,210,2018-03-02,2018-03-03 00:00:00,2018-03-03 00:00:00
1120,1,220,2018-03-02,2018-03-02 00:00:00,2018-03-02 00:00:00
1120,1,250,2018-03-02,2018-03-02 00:00:00,2018-03-02 00:00:00
1120,1,320,2018-03-03,2018-03-05 00:00:00,2018-03-06 00:00:00
1120,1,500,2018-03-03,2999-12-31 00:00:00,2018-02-25 00:00:00
1120,1,520,2018-03-03,2018-03-03 00:00:00,2018-03-03 00:00:00
1120,1,90,2018-03-04,2999-12-31 00:00:00,2018-02-26 00:00:00
1120,1,120,2018-03-04,2999-12-31 00:00:00,2018-02-26 00:00:00
1120,1,140,2018-03-04,2999-12-31 00:00:00,2018-02-26 00:00:00
1120,1,290,2018-03-04,2018-03-05 00:00:00,2018-03-06 00:00:00
1120,1,300,2018-03-04,2018-03-05 00:00:00,2018-03-05 00:00:00
1120,1,310,2018-03-04,2018-03-05 00:00:00,2018-03-05 00:00:00
1120,1,330,2018-03-04,2018-03-05 00:00:00,2018-03-06 00:00:00
1120,1,340,2018-03-04,2018-03-04 00:00:00,2018-03-05 00:00:00
1120,1,350,2018-03-04,2018-03-05 00:00:00,2018-03-06 00:00:00
1120,1,370,2018-03-04,2018-03-04 00:00:00,2018-03-05 00:00:00
1120,1,380,2018-03-04,2018-03-05 00:00:00,2018-03-05 00:00:00
1120,1,420,2018-03-04,2018-03-05 00:00:00,2018-03-06 00:00:00
1120,1,430,2018-03-04,2018-03-05 00:00:00,2018-03-05 00:00:00
1120,1,440,2018-03-04,2018-03-05 00:00:00,2018-03-06 00:00:00
1120,1,450,2018-03-04,2018-03-04 00:00:00,2018-03-05 00:00:00
1120,1,480,2018-03-04,2018-03-04 00:00:00,2018-03-05 00:00:00
1120,1,1470,2018-03-04,2018-03-04 00:00:00,2018-03-04 00:00:00
1120,1,230,2018-03-05,2018-03-06 00:00:00,2018-03-06 00:00:00
1120,1,240,2018-03-05,2999-12-31 00:00:00,2018-02-27 00:00:00
1120,1,360,2018-03-05,2999-12-31 00:00:00,2018-02-27 00:00:00
1120,1,390,2018-03-05,2018-03-06 00:00:00,2018-03-07 00:00:00
1120,1,400,2018-03-05,2999-12-31 00:00:00,2018-02-27 00:00:00
1120,1,460,2018-03-05,2018-03-05 00:00:00,2018-03-06 00:00:00
1120,1,560,2018-03-05,2018-03-07 00:00:00,2018-03-07 00:00:00
1120,1,570,2018-03-05,2018-03-06 00:00:00,2018-03-07 00:00:00
1120,1,820,2018-03-05,2018-03-05 00:00:00,2018-03-07 00:00:00
1120,1,830,2018-03-05,2018-03-06 00:00:00,2018-03-07 00:00:00
1120,1,850,2018-03-05,2018-03-05 00:00:00,2018-03-06 00:00:00
1120,1,880,2018-03-05,2018-03-05 00:00:00,2018-03-06 00:00:00
1120,1,900,2018-03-05,2018-03-05 00:00:00,2018-03-06 00:00:00
1120,1,910,2018-03-05,2018-03-05 00:00:00,2018-03-06 00:00:00
1120,1,930,2018-03-05,2018-03-06 00:00:00,2018-03-07 00:00:00
1120,1,935,2018-03-05,2018-03-06 00:00:00,2018-03-07 00:00:00
1120,1,305,2018-03-06,2999-12-31 00:00:00,2018-03-01 00:00:00
1120,1,410,2018-03-06,2999-12-31 00:00:00,2018-03-01 00:00:00
1120,1,510,2018-03-06,2018-03-07 00:00:00,2018-03-08 00:00:00
1120,1,530,2018-03-06,2018-03-07 00:00:00,2018-03-07 00:00:00
1120,1,600,2018-03-06,2018-03-07 00:00:00,2018-03-07 00:00:00
1120,1,630,2018-03-06,2018-03-07 00:00:00,2018-03-07 00:00:00
1120,1,640,2018-03-06,2018-03-07 00:00:00,2018-03-07 00:00:00
1120,1,650,2018-03-06,2018-03-07 00:00:00,2018-03-07 00:00:00
1120,1,670,2018-03-06,2018-03-07 00:00:00,2018-03-07 00:00:00
1120,1,700,2018-03-06,2018-03-07 00:00:00,2018-03-07 00:00:00
1120,1,730,2018-03-06,2018-03-06 00:00:00,2018-03-06 00:00:00
1120,1,735,2018-03-06,2018-03-07 00:00:00,2018-03-07 00:00:00
1120,1,760,2018-03-06,2018-03-06 00:00:00,2018-03-07 00:00:00
1120,1,770,2018-03-06,2018-03-06 00:00:00,2018-03-06 00:00:00
1120,1,860,2018-03-06,2018-03-06 00:00:00,2018-03-06 00:00:00
1120,1,890,2018-03-06,2999-12-31 00:00:00,2018-03-01 00:00:00
1120,1,270,2018-03-07,2018-03-08 00:00:00,2018-03-08 00:00:00
1120,1,610,2018-03-07,2018-03-08 00:00:00,2018-03-08 00:00:00
1120,1,620,2018-03-07,2018-03-08 00:00:00,2018-03-08 00:00:00
1120,1,655,2018-03-07,2018-03-07 00:00:00,2018-03-07 00:00:00
1120,1,980,2018-03-07,2018-03-08 00:00:00,2018-03-08 00:00:00
1120,1,990,2018-03-07,2018-03-07 00:00:00,2018-03-07 00:00:00
1120,1,1010,2018-03-07,2018-03-10 00:00:00,2018-03-15 00:00:00
1120,1,1070,2018-03-07,2018-03-07 00:00:00,2018-03-07 00:00:00
1120,1,1160,2018-03-07,2018-03-07 00:00:00,2018-03-08 00:00:00
1120,1,1180,2018-03-07,2018-03-08 00:00:00,2018-03-08 00:00:00
1120,1,1190,2018-03-07,2018-03-07 00:00:00,2018-03-07 00:00:00
1120,1,1200,2018-03-07,2018-03-07 00:00:00,2018-03-07 00:00:00
1120,1,1210,2018-03-07,2018-03-08 00:00:00,2018-03-08 00:00:00
1120,1,1454,2018-03-07,2018-03-07 00:00:00,2018-03-07 00:00:00
1120,1,1455,2018-03-07,2018-03-07 00:00:00,2018-03-07 00:00:00
1120,1,1460,2018-03-07,2018-03-07 00:00:00,2018-03-07 00:00:00
1120,1,1510,2018-03-07,2018-03-07 00:00:00,2018-03-08 00:00:00
1120,1,80,2018-03-08,2018-03-10 00:00:00,2018-03-10 00:00:00
1120,1,920,2018-03-08,2018-03-08 00:00:00,2018-03-08 00:00:00
1120,1,940,2018-03-08,2018-03-08 00:00:00,2018-03-08 00:00:00
1120,1,955,2018-03-08,2018-03-08 00:00:00,2018-03-08 00:00:00
1120,1,1020,2018-03-08,2018-03-09 00:00:00,2018-03-09 00:00:00
1120,1,1040,2018-03-08,2018-03-09 00:00:00,2018-03-09 00:00:00
1120,1,160,2018-03-09,2018-03-09 00:00:00,2018-03-09 00:00:00
1120,1,550,2018-03-09,2018-03-10 00:00:00,2018-03-10 00:00:00
1120,1,590,2018-03-09,2999-12-31 00:00:00,2018-03-03 00:00:00
1120,1,635,2018-03-09,2018-03-10 00:00:00,2018-03-10 00:00:00
1120,1,680,2018-03-09,2018-03-09 00:00:00,2018-03-09 00:00:00
1120,1,690,2018-03-09,2018-03-09 00:00:00,2018-03-09 00:00:00
1120,1,720,2018-03-09,2999-12-31 00:00:00,2018-03-03 00:00:00
1120,1,745,2018-03-09,2999-12-31 00:00:00,2018-03-03 00:00:00
1120,1,750,2018-03-09,2018-03-09 00:00:00,2018-03-09 00:00:00
1120,1,790,2018-03-09,2018-03-10 00:00:00,2018-03-10 00:00:00
1120,1,960,2018-03-09,2018-03-09 00:00:00,2018-03-09 00:00:00
1120,1,965,2018-03-09,2018-03-09 00:00:00,2018-03-09 00:00:00
1120,1,970,2018-03-09,2018-03-10 00:00:00,2018-03-10 00:00:00
1120,1,1000,2018-03-09,2018-03-10 00:00:00,2018-03-10 00:00:00
